5,13,11,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,11,9,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,6,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,4,4,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,7,5,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,5,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,6,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,3,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
