33,24,16,14,13,7,2,3,0,2,1,1,0,0,0,0,1,0,0,1
14,9,9,8,5,7,4,0,1,1,0,1,2,0,0,0,0,0,0,0
22,7,5,8,9,6,2,0,1,1,0,1,2,1,0,0,0,0,1,0
16,12,6,5,8,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0
11,9,4,7,9,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0
9,7,1,5,1,3,0,1,0,2,2,0,1,0,1,0,0,1,0,0
6,5,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
8,5,4,6,4,3,4,1,0,0,1,0,0,1,0,0,0,0,1,0
6,8,4,3,3,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
5,4,5,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,3,1,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0
8,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,4,4,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0
6,2,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
3,6,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,2,3,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0
5,3,5,5,1,3,2,0,0,1,2,0,0,0,0,0,0,1,0,0
11,3,4,5,4,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0
8,8,5,6,4,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0
3,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,3,3,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,2,3,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
