69,34,32,21,15,17,8,4,5,5,1,1,4,1,2,2,1,1,1,1
34,90,37,31,16,13,4,4,2,5,2,2,1,2,2,2,1,1,0,1
32,37,82,26,15,15,2,5,4,2,2,1,3,2,0,1,0,0,1,1
21,31,26,59,12,9,2,3,3,4,0,1,2,3,1,1,0,0,0,0
15,16,15,12,39,9,3,4,1,3,1,0,1,2,1,1,0,0,0,0
17,13,15,9,9,27,4,2,2,1,1,1,0,1,1,1,0,0,1,0
8,4,2,2,3,4,10,0,3,3,0,0,0,0,0,0,0,0,0,0
4,4,5,3,4,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0
5,2,4,3,1,2,3,0,5,1,0,0,0,0,0,0,0,0,0,0
5,5,2,4,3,1,3,1,1,6,0,0,1,0,1,0,0,0,0,0
1,2,2,0,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
1,2,1,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0
4,1,3,2,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
1,2,2,3,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0
2,2,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0
2,2,1,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
